Date,GLD,USO,SLV,SPX,EUR_USD
03-11-2016,1258.699951,38.5,15.60700035,2022.189941,1.117843032
04-01-2016,1222.199951,36.79000092,15.04199982,2072.780029,1.13796711
04-04-2016,1218,35.70000076,14.94200039,2066.129883,1.139003992
04-05-2016,1228.400024,35.88999939,15.11400032,2045.170044,1.13890028
04-06-2016,1222.5,37.75,15.05200005,2066.659912,1.138200283
04-07-2016,1236.199951,37.25999832,15.15600014,2041.910034,1.140497923
04-08-2016,1242.5,39.72000122,15.38199997,2047.599976,1.137397647
04-11-2016,1256.699951,40.36000061,15.97399998,2041.98999,1.140302896
04-12-2016,1259.400024,42.16999817,16.21999931,2061.719971,1.141291857
05-02-2016,1294.699951,44.77999878,17.65600014,2081.429932,1.146302581
05-03-2016,1290.699951,43.65000153,17.47400093,2063.370117,1.152498603
05-04-2016,1273.300049,43.77999878,17.27700043,2051.120117,1.150403738
05-05-2016,1271.400024,44.31999969,17.30200005,2050.629883,1.149306417
05-06-2016,1292.900024,44.65999985,17.50699997,2057.139893,1.140601993
05-09-2016,1265.599976,43.43999863,17.06999969,2058.689941,1.138796568
05-10-2016,1263.900024,44.65999985,17.07500076,2084.389893,1.138796568
05-11-2016,1274.599976,46.22999954,17.30200005,2064.459961,1.13743639
05-12-2016,1270.300049,46.70000076,17.08699989,2064.110107,1.142700434
06-01-2016,1211.900024,49.00999832,15.90600014,2099.330078,1.113598108
06-02-2016,1209.800049,49.16999817,16.00499916,2105.26001,1.11890614
06-03-2016,1240.099976,48.61999893,16.34600067,2099.129883,1.115200162
06-06-2016,1244.599976,49.68999863,16.4279995,2109.409912,1.13509953
06-07-2016,1244.400024,50.36000061,16.37700081,2112.129883,1.136402369
06-08-2016,1259.800049,51.22999954,16.96800041,2119.120117,1.135782838
06-09-2016,1270.199951,50.56000137,17.25300026,2115.47998,1.140706182
06-10-2016,1273.400024,49.06999969,17.31500053,2096.070068,1.131503344
07-01-2016,1336.699951,48.99000168,19.54400063,2102.949951,1.110605121
07-05-2016,1356.400024,46.59999847,19.86599922,2088.550049,1.114603519
07-06-2016,1364.900024,47.43000031,20.15999985,2099.72998,1.106500745
07-07-2016,1360.099976,45.13999939,19.79800034,2097.899902,1.109902501
07-08-2016,1356.599976,45.40999985,20.05800056,2129.899902,1.106574178
07-11-2016,1355,44.75999832,20.26399994,2137.159912,1.104398847
07-12-2016,1334.099976,46.79999924,20.12999916,2152.139893,1.105803251
08-01-2016,1351.400024,40.06000137,20.46500015,2170.840088,1.116806865
08-02-2016,1364.400024,39.50999832,20.66600037,2157.030029,1.116806865
08-03-2016,1356.099976,40.83000183,20.43600082,2163.790039,1.121906281
08-04-2016,1358.800049,41.93000031,20.40600014,2164.25,1.115150452
08-05-2016,1336.400024,41.79999924,19.78000069,2182.870117,1.113474131
08-08-2016,1333.400024,43.02000046,19.76799965,2180.889893,1.108954787
08-09-2016,1339,42.77000046,19.81399918,2181.73999,1.10836482
08-10-2016,1344.300049,41.70999908,20.13400078,2175.48999,1.111580491
08-11-2016,1342.5,43.49000168,19.98399925,2185.790039,1.118643403
08-12-2016,1335.800049,44.49000168,19.67200089,2184.050049,1.113908291
09-01-2016,1312.199951,43.15999985,18.85700035,2170.860107,1.116071343
09-02-2016,1322.099976,44.43999863,19.27599907,2179.97998,1.120071769
09-06-2016,1349.400024,44.83000183,20.04899979,2186.47998,1.115324497
09-07-2016,1344.300049,45.5,19.75900078,2186.159912,1.125365734
09-08-2016,1336.800049,47.61999893,19.5909996,2181.300049,1.124100804
09-09-2016,1330.099976,45.88000107,19.28199959,2127.810059,1.127141595
09-12-2016,1321,46.29000092,18.91500092,2159.040039,1.124113321
10-03-2016,1309,48.81000137,18.79500008,2161.199951,1.123469234
10-04-2016,1266.300049,48.68999863,17.71299934,2150.48999,1.121038556
10-05-2016,1265.199951,49.83000183,17.63400078,2159.72998,1.121076226
10-06-2016,1249.800049,50.43999863,17.28800011,2160.77002,1.120824933
10-07-2016,1248.900024,49.81000137,17.3239994,2153.73999,1.114454508
10-11-2016,1253,50.79000092,17.45599937,2136.72998,1.114081979
10-12-2016,1251.099976,50.18000031,17.45499992,2139.179932,1.106194735
11-01-2016,1286.400024,46.66999817,18.38500023,2111.719971,1.097333431
11-02-2016,1306.800049,45.34000015,18.65999985,2097.939941,1.1057055
11-03-2016,1302.099976,44.65999985,18.38299942,2088.659912,1.109754801
11-04-2016,1303.300049,44.06999969,18.34199905,2085.179932,1.110247612
11-07-2016,1278.300049,44.88999939,18.12400055,2131.52002,1.11012435
11-08-2016,1273.400024,44.97999954,18.32999992,2139.560059,1.105216622
11-09-2016,1272.599976,45.27000046,18.35700035,2163.26001,1.101904154
11-10-2016,1265.5,44.65999985,18.7159996,2167.47998,1.092060685
12-01-2016,1166.900024,51.06000137,16.42700005,2191.080078,1.059209824
12-02-2016,1175.099976,51.68000031,16.75300026,2191.949951,1.066314101
12-05-2016,1174,51.79000092,16.8239994,2204.709961,1.058201075
12-06-2016,1167.599976,50.93000031,16.73999977,2212.22998,1.075731516
12-07-2016,1175,49.77000046,17.20299911,2241.350098,1.072041154
12-08-2016,1169.800049,50.84000015,17.02499962,2246.189941,1.076194525
12-09-2016,1159.400024,51.5,16.89699936,2259.530029,1.062134862
12-12-2016,1163.5,52.83000183,17.11599922,2256.959961,1.054741144
01-03-2017,1160.400024,52.33000183,16.3560009,2257.830078,1.046003222
01-04-2017,1163.800049,53.25999832,16.49900055,2270.75,1.041992307
01-05-2017,1179.699951,53.75999832,16.58399963,2269,1.05008924
01-06-2017,1171.900024,53.99000168,16.4659996,2276.97998,1.060591578
01-09-2017,1183.5,51.95999908,16.62999916,2268.899902,1.053185821
01-10-2017,1184.199951,50.81999969,16.8029995,2268.899902,1.05886209
01-11-2017,1195.599976,52.25,16.78300095,2275.320068,1.055241942
01-12-2017,1198.900024,53.00999832,16.78000069,2270.439941,1.059771061
02-01-2017,1205.599976,53.88000107,17.42000008,2279.550049,1.080380321
02-02-2017,1216.699951,53.54000092,17.40200043,2280.850098,1.076739192
02-03-2017,1218.5,53.83000183,17.45299911,2297.419922,1.076171398
02-06-2017,1230,53.00999832,17.66699982,2292.560059,1.078294992
02-07-2017,1234.199951,52.16999817,17.7329998,2293.080078,1.074321628
02-08-2017,1237.599976,52.34000015,17.68300056,2294.669922,1.067805648
02-09-2017,1235.099976,53,17.71999931,2307.870117,1.069221377
02-10-2017,1234.400024,53.86000061,17.91200066,2316.100098,1.065859437
03-01-2017,1248.900024,53.83000183,18.44300079,2395.959961,1.056914806
03-02-2017,1231.900024,52.61000061,17.70499992,2381.919922,1.053585291
03-03-2017,1225.5,53.33000183,17.6970005,2383.120117,1.050972104
03-06-2017,1224.5,53.20000076,17.72500038,2375.310059,1.062044621
03-07-2017,1215.099976,53.13999939,17.49200058,2368.389893,1.057921171
03-08-2017,1208.5,50.27999878,17.25699997,2362.97998,1.057015419
03-09-2017,1202.400024,49.27999878,16.99300003,2364.870117,1.054741144
03-10-2017,1200.699951,48.49000168,16.88299942,2372.600098,1.057842851
04-03-2017,1250.800049,50.24000168,18.19099998,2358.840088,1.066882968
04-04-2017,1255,51.02999878,18.30200005,2360.159912,1.067008138
04-05-2017,1245.400024,51.15000153,18.16600037,2352.949951,1.068033814
04-06-2017,1250.300049,51.70000076,18.22500038,2357.48999,1.067247272
04-07-2017,1254.300049,52.24000168,18.12999916,2355.540039,1.064463973
04-10-2017,1251.099976,53.08000183,17.8939991,2357.159912,1.058201075
04-11-2017,1271.199951,53.40000153,18.2329998,2353.780029,1.059759855
04-12-2017,1275.300049,53.11000061,18.27899933,2344.929932,1.061131835
05-01-2017,1253.300049,48.84000015,16.78000069,2388.330078,1.090750456
05-02-2017,1255.099976,47.65999985,16.7689991,2391.169922,1.090893269
